sa2_code_2021,median_weekly_rent,uni_share,uni_students,total_students,overseas_share,p_australia_tot,p_tot_tot,intl_student_proxy,suburb
208011171,450,0.16530450830477195,627,3793,0.3079025645148324,8609,12439,0.050897682032902694,SA2_208011171
208011172,471,0.20441202632983455,1149,5621,0.3141758241758242,12482,18200,0.06422131684362604,SA2_208011172
208011173,486,0.19625226677412855,974,4963,0.2908745247148289,12309,17358,0.057084784822132445,SA2_208011173
208021174,491,0.20067516879219804,1605,7998,0.3994617609254499,14951,24896,0.08016205629974332,SA2_208021174
208021176,395,0.3026762156049755,1606,5306,0.4621236646163807,9969,18534,0.13987384194758903,SA2_208021176
208021177,426,0.26540662851058167,1994,7513,0.39026026294606925,13635,22362,0.10357766063016932,SA2_208021177
208021178,483,0.21338833677104818,1138,5333,0.4133886583679115,10603,18075,0.08821231824914369,SA2_208021178
208021179,426,0.21034180543382996,720,3423,0.3263608870967742,8019,11904,0.06864733821492182,SA2_208021179
208021180,416,0.2518018018018018,559,2220,0.41993917757503635,4387,7563,0.10574144156056095,SA2_208021180
208021181,390,0.2702410939186758,751,2779,0.36353933183904363,5963,9369,0.09824326671864764,SA2_208021181
208021182,391,0.2558431766775572,1018,3979,0.4592474101157831,7099,13128,0.11749531628496285,SA2_208021182
208021426,508,0.1657288074060628,913,5509,0.40101308569016464,9933,16583,0.06645942044565625,SA2_208021426
208021427,490,0.16440763052208834,655,3984,0.3571885893149321,9036,14057,0.058724529618795304,SA2_208021427
208031183,510,0.17861080485115766,486,2721,0.3689144922625099,5587,8853,0.06589211438426307,SA2_208031183
208031184,504,0.0,0,3,0.41935483870967744,18,31,0.0,SA2_208031184
208031185,420,0.14252645502645503,431,3024,0.2791722074468085,8673,12032,0.039789425069303726,SA2_208031185
208031186,381,0.13059219032841995,505,3867,0.28124177847934756,10928,15204,0.03672797986347828,SA2_208031186
208031187,412,0.12307692307692308,192,1560,0.2851844984238828,3855,5393,0.03509963057524712,SA2_208031187
208031188,421,0.16648764769065522,1085,6517,0.3500518995225244,15654,24085,0.058279317321150687,SA2_208031188
208031189,440,0.1505349589450112,605,4019,0.22273833222738332,10542,13563,0.033529905697329415,SA2_208031189
208031190,392,0.17824339839265213,621,3484,0.31355611123740246,9059,13197,0.05588930685373907,SA2_208031190
208031191,440,0.1573806078147612,435,2764,0.3861342694164107,5596,9116,0.060770046018863474,SA2_208031191
208031192,486,1.0,23,23,0.8846153846153846,3,26,0.8846153846153846,SA2_208031192
208031193,400,0.16846513126107263,1046,6209,0.270909005141752,15456,21199,0.045638721111011846,SA2_208031193
208041194,410,0.2697957116326186,1598,5923,0.2958644201788626,14251,20239,0.07982295178892833,SA2_208041194
208041195,421,0.2888480045287291,2041,7066,0.3257765816722164,14781,21923,0.09409991553821025,SA2_208041195
209011196,385,0.19391365888181175,548,2826,0.34228460990743564,6466,9831,0.06637366108608447,SA2_209011196
209011197,400,0.1580958999305073,910,5756,0.2236747248522132,16153,20807,0.035362056917219255,SA2_209011197
209011198,401,0.20273794002607562,933,4602,0.30301140968888335,11179,16039,0.06143190900472146,SA2_209011198
209011199,353,0.22317018410417602,994,4454,0.3656073256127121,9422,14852,0.08159265416682439,SA2_209011199
209011200,440,0.26142697881828314,938,3588,0.2974795312249157,8752,12458,0.07776917510840883,SA2_209011200
209011201,451,0.2404679376083189,555,2308,0.24741602067183463,5825,7740,0.05949562022221327,SA2_209011201
209011202,415,0.15181088700932552,700,4611,0.195598282846605,13304,16539,0.029693948816444046,SA2_209011202
209011203,400,0.16443629697525206,897,5455,0.2879944482997918,13338,18733,0.04735674062784844,SA2_209011203
209011204,390,0.16262135922330098,402,2472,0.24361195322650497,6986,9236,0.03961650695673746,SA2_209011204
209021205,369,0.3862050456253355,1439,3726,0.4632013835511145,5587,10408,0.1788907114680767,SA2_209021205
209021428,391,0.25976971388695047,1489,5732,0.3796050407995751,12849,20711,0.09860989283854978,SA2_209021428
209021429,400,0.21525148729042726,796,3698,0.3307340894770006,8497,12696,0.07119100465756963,SA2_209021429
209021523,358,0.20747198007471981,833,4015,0.4324433930381886,8397,14795,0.08971988702386328,SA2_209021523
209021524,371,0.17076983196561157,437,2559,0.4436282012039588,5453,9801,0.07575831337480657,SA2_209021524
209021525,349,0.19770474700052165,758,3834,0.41487616220017187,7489,12799,0.08202298668433236,SA2_209021525
209021526,361,0.18973981345115365,773,4074,0.3611781405251952,9001,14090,0.06852987300588509,SA2_209021526
209031209,446,0.15935465609963204,1126,7066,0.2079849854973554,18568,23444,0.033143375837818026,SA2_209031209
209031210,420,0.15369836695485112,160,1041,0.13871693866066404,3061,3554,0.021320566941120316,SA2_209031210
209031211,306,0.06102212051868802,80,1311,0.19909609895337774,3367,4204,0.012149266145133652,SA2_209031211
209031212,300,0.14924346629986246,217,1454,0.18601453545472402,4144,5091,0.027761454053421675,SA2_209031212
209031213,480,0.16569767441860464,456,2752,0.2165221070446372,7407,9454,0.03587720959751256,SA2_209031213
209031214,462,0.1765504753282028,390,2209,0.1734679163662581,5732,6935,0.0306258430886558,SA2_209031214
209031215,429,0.16395348837209303,705,4300,0.1675105777901089,12002,14417,0.027463943567913204,SA2_209031215
209041216,381,0.3006993006993007,731,2431,0.41877551020408166,4272,7350,0.1259255030683602,SA2_209041216
