sa2_code_2021,median_weekly_rent,avg_hh_size,uni_share,overseas_share,intl_student_proxy,log_rent,log_proxy,log_uni,log_os,proxy_sq,D_inner,D_middle,D_high_os,proxy_x_highos
206021499,461,2.4,0.2681359044995409,0.2735598619591187,0.07335122102117783,6.133398042996649,-2.612496128026206,-1.3162613206646787,-1.2962348073615273,6.825136018951917,1,0,0,-0.0
206021500,490,2.3,0.2813342318059299,0.2821633168268764,0.0793821999833025,6.194405391104672,-2.533481117431989,-1.2682118794364157,-1.2652692379955734,6.41852657238444,1,0,0,-0.0
206031113,370,2.4,0.21692439862542956,0.32749654400631956,0.0710419908604774,5.91350300563827,-2.6444841561909382,-1.5282063795759686,-1.1162777766149694,6.993296452344898,1,0,1,-2.6444841561909382
206031115,324,2.0,0.28774928774928776,0.4410369553226696,0.12690806976521263,5.780743515792329,-2.0642923147532124,-1.2456657066246064,-0.818626608128606,4.261302760749175,1,0,1,-2.0642923147532124
206031116,400,2.2,0.26859122401847574,0.3141025641025641,0.08436519215964942,5.991464547107982,-2.4726003776167818,-1.3145646684778711,-1.1580357091389104,6.113752627390651,1,0,1,-2.4726003776167818
206031501,382,2.5,0.22678683714106057,0.26567759630968707,0.06025218176631344,5.945420608606575,-2.8092164953779877,-1.4837447461096802,-1.3254717492683075,7.891697317903783,1,0,0,-0.0
206031502,371,2.2,0.25874125874125875,0.2925108686736117,0.07568463035610933,5.916202062607435,-2.581180172757743,-1.3519267176156828,-1.2292534551420604,6.6624910842376925,1,0,0,-0.0
206041117,365,1.8,0.6303535856573705,0.6137496247373161,0.3868792766490328,5.8998973535824915,-0.9496425812611564,-0.46147436996160124,-0.4881682112995552,0.901821032144352,1,0,1,-0.9496425812611564
206041118,411,1.8,0.3550397592950784,0.703027173562254,0.24960259847944197,6.018593214496234,-1.3878852319663668,-1.0355254977637252,-0.35235973420264155,1.926225417110336,1,0,1,-1.3878852319663668
206041119,480,1.8,0.3761105626850938,0.3278186274509804,0.12329604842924337,6.173786103901937,-2.093166917750028,-0.9778721291219824,-1.1152947886280458,4.381347745563152,1,0,1,-2.093166917750028
206041120,401,1.8,0.7391304347826086,0.45454545454545453,0.33596837944664026,5.993961427306569,-1.090738232237204,-0.3022808718729337,-0.7884573603642702,1.1897098912639406,1,0,1,-1.090738232237204
206041121,416,2.1,0.31994689678061733,0.3469520707305724,0.11100623836185589,6.030685260261263,-2.1981688777908848,-1.1396002445197555,-1.058568633271129,4.831946415288438,1,0,1,-2.1981688777908848
206041124,396,2.1,0.7053831874834261,0.42757297519528575,0.30160278812502256,5.981414211254481,-1.1986443984447044,-0.3490140954826124,-0.849630302962092,1.4367483939228674,1,0,1,-1.1986443984447044
206041125,457,1.8,0.24388789505068575,0.4088432196792776,0.09971191225332413,6.124683390894205,-2.305470128175458,-1.411046605780407,-0.894423522395051,5.315192511909363,1,0,1,-2.305470128175458
